Genotype ,PLOT ID,REP,Fresh Weight,Leaf Area,SPAD 1,SPAD 2 ,SPAD 3,Field Location,Growth Stage,Source
B14A,1028,1,6.55,240,46.5,40.7,49,SAM,1,GH
B14A,1028,2,7.9,237.9,40.9,45.3,50.6,SAM,1,GH
2FACC,1052,1,8.7,273.3,49.2,50.4,52.1,SAM,1,GH
2FACC,1052,2,6.8,234.6,51.7,49.5,52.3,SAM,1,GH
PHZ51,1056,1,4.45,178.2,32.6,39,35.5,SAM,1,GH
PHZ51,1056,2,4.35,194.7,32.2,40,39.2,SAM,1,GH
B37,1077,1,6.5,233.8,39.7,44.8,48,SAM,1,GH
B37,1077,2,6.7,222,42.2,39.4,42.7,SAM,1,GH
B84@,1091,1,9.15,282.1,52.1,57.5,53,SAM,1,GH
B84@,1091,2,9.45,288.6,54,54.9,59.3,SAM,1,GH
Mo17@,1096,1,5.35,190,47.7,46.8,49.9,SAM,1,GH
Mo17@,1096,2,7.9,269.7,46.9,46.2,44.9,SAM,1,GH
Wf9@,1127,1,5.8,249.9,33.7,49.9,41.8,SAM,1,GH
Wf9@,1127,2,5,146.6,41.8,49.2,40.2,SAM,1,GH
Oh43E@,1144,1,9.4,369.6,52.8,53.4,57.1,SAM,1,GH
Oh43E@,1144,2,11.1,351,30.8,34.2,45.8,SAM,1,GH
LH123HT@,1157,1,6.65,215.7,55.7,42.1,57.6,SAM,1,GH
LH123HT@,1157,2,4.75,190.3,52.7,48.7,46.6,SAM,1,GH
Oh43@,1197,1,5.8,228.2,35,48.7,41.2,SAM,1,GH
Oh43@,1197,2,7.25,243,37.6,43.3,41.6,SAM,1,GH
LH82@,1206,1,6.8,270,33.2,43.2,41.7,SAM,1,GH
LH82@,1206,2,6.6,273.1,36.4,39.9,39.5,SAM,1,GH
PHJ40@,1217,1,4.35,183,47.7,53.7,44.4,SAM,1,GH
PHJ40@,1217,2,5.4,241.6,52.3,49.1,43.9,SAM,1,GH
PHK76@,1218,1,8.2,305.7,51.9,63.6,52.7,SAM,1,GH
PHK76@,1218,2,7.9,313.6,56.2,57.4,60.6,SAM,1,GH
3IIH6@,1239,1,5.4,153.8,33.6,44,39.6,SAM,1,GH
3IIH6@,1239,2,7.25,188.8,40.9,46.4,41.7,SAM,1,GH
LH145@,1252,1,5.55,207.5,35.9,44,40.9,SAM,1,GH
LH145@,1252,2,5.55,205.9,43.2,41.1,37.3,SAM,1,GH
H95@,1289,1,2.2,96,37,41.5,34.3,SAM,1,GH
H95@,1289,2,3,129.9,46,45.8,49.4,SAM,1,GH
