Genotype ,PLOT ID,Rep,Field Location,Growth Stage,Fresh Weight,Leaf Area
B14A,1028,1,SAM,1,6.55,240
B14A,1028,2,SAM,1,7.9,237.9
2FACC,1052,1,SAM,1,8.7,273.3
2FACC,1052,2,SAM,1,6.8,234.6
PHZ51,1056,1,SAM,1,4.45,178.2
PHZ51,1056,2,SAM,1,4.35,194.7
B37,1077,1,SAM,1,6.5,233.8
B37,1077,2,SAM,1,6.7,222
B84@,1091,1,SAM,1,9.15,282.1
B84@,1091,2,SAM,1,9.45,288.6
Mo17@,1096,1,SAM,1,5.35,190
Mo17@,1096,2,SAM,1,7.9,269.7
Wf9@,1127,1,SAM,1,5.8,249.9
Wf9@,1127,2,SAM,1,5,146.6
Oh43E@,1144,1,SAM,1,9.4,369.6
Oh43E@,1144,2,SAM,1,11.1,351
LH123HT@,1157,1,SAM,1,6.65,215.7
LH123HT@,1157,2,SAM,1,4.75,190.3
Oh43@,1197,1,SAM,1,5.8,228.2
Oh43@,1197,2,SAM,1,7.25,243
LH82@,1206,1,SAM,1,6.8,270
LH82@,1206,2,SAM,1,6.6,273.1
PHJ40@,1217,1,SAM,1,4.35,183
PHJ40@,1217,2,SAM,1,5.4,241.6
PHK76@,1218,1,SAM,1,8.2,305.7
PHK76@,1218,2,SAM,1,7.9,313.6
3IIH6@,1239,1,SAM,1,5.4,153.8
3IIH6@,1239,2,SAM,1,7.25,188.8
LH145@,1252,1,SAM,1,5.55,207.5
LH145@,1252,2,SAM,1,5.55,205.9
H95@,1289,1,SAM,1,2.2,96
H95@,1289,2,SAM,1,3,129.9
F42@,1330,1,SAM,1,4.1,181.1
F42@,1330,2,SAM,1,4.3,151.8
H95@,2053,1,SAM,1,7.75,270.8
H95@,2053,2,SAM,1,8.55,314.8
3IIH6@,2060,1,SAM,1,6.8,207.1
3IIH6@,2060,2,SAM,1,6.65,188.8
PHK76@,2068,1,SAM,1,6,217.5
PHK76@,2068,2,SAM,1,7.1,257
LH145@,2098,1,SAM,1,6.7,242.5
LH145@,2098,2,SAM,1,4.85,217
Oh43@,2109,1,SAM,1,7.5,318.8
Oh43@,2109,2,SAM,1,8.7,332.8
PHJ40@,2127,1,SAM,1,6.35,220.8
PHJ40@,2127,2,SAM,1,6.9,222.8
LH82@,2136,1,SAM,1,7.45,290.1
LH82@,2136,2,SAM,1,7.95,287.9
B73@,2180,1,SAM,1,6.05,225.7
B73@,2180,2,SAM,1,5.65,225.8
LH123HT@,2181,1,SAM,1,4.5,150.2
LH123HT@,2181,2,SAM,1,4.95,171.9
Oh43E@,2225,1,SAM,1,11,390.2
Oh43E@,2225,2,SAM,1,14.65,450
2FACC@,2241,1,SAM,1,8.25,255
2FACC@,2241,2,SAM,1,5.4,201.5
Wf9@,2242,1,SAM,1,7.65,320.7
Wf9@,2242,2,SAM,1,4.9,233
PHZ51@,2268,1,SAM,1,4.3,189.5
PHZ51@,2268,2,SAM,1,1.75,61.4
B14A@,2292,1,SAM,1,3.8,162.6
B14A@,2292,2,SAM,1,3.8,135
Mo17@,2311,1,SAM,1,5.5,212.7
Mo17@,2311,2,SAM,1,5.65,204
B84@,2321,1,SAM,1,7,470
B84@,2321,2,SAM,1,6.3,205
F42@,2378,1,SAM,1,6,243.8
F42@,2378,2,SAM,1,6.5,261
PHJ40 x LH82,4104,1,HIPS,1,5.6,285
PHJ40 x LH82,4104,2,HIPS,1,6.6,335
2FACC x 3IIH6,4106,1,HIPS,1,6.95,293.3
2FACC x 3IIH6,4106,2,HIPS,1,8.6,319.6
B37 x OH43,4108,1,HIPS,1,9.45,354.2
B37 x OH43,4108,2,HIPS,1,6.85,276.2
PHK76 x 3IIH6,4111,1,HIPS,1,5.55,230.6
PHK76 x 3IIH6,4111,2,HIPS,1,9.45,373.5
PHK76 x LH82,4115,1,HIPS,1,5.1,260.4
PHK76 x LH82,4115,2,HIPS,1,8.5,340.8
PHK76 x LH145,4119,1,HIPS,1,4.3,191.8
PHK76 x LH145,4119,2,HIPS,1,7.5,333.3
B73 x Mo17,4122,1,HIPS,1,6.2,278
B73 x Mo17,4122,2,HIPS,1,7.65,302.3
B73 x PHZ51,4124,1,HIPS,1,4.5,137.7
B73 x PHZ51,4124,2,HIPS,1,8.55,331
WF9 x H95,4127,1,HIPS,1,7.9,334.6
WF9 x H95,4127,2,HIPS,1,8.9,384.4
F42 x Mo17,4128,1,HIPS,1,8.5,379.5
F42 x Mo17,4128,2,HIPS,1,9.55,370.7
B37 x H95,4129,1,HIPS,1,5.85,250.3
B37 x H95,4129,2,HIPS,1,7.7,300.3
B14A x Mo17,4131,1,HIPS,1,10.55,394.8
B14A x Mo17,4131,2,HIPS,1,9.9,380
PHZ51 x LH145,4135,1,HIPS,1,6.55,269.5
PHZ51 x LH145,4135,2,HIPS,1,6.7,266.4
B37 x Mo17,4154,1,HIPS,1,5.15,231.6
B37 x Mo17,4154,2,HIPS,1,5.5,244
LH123HT x 3IIH6,4155,1,HIPS,1,9.55,345
LH123HT x 3IIH6,4155,2,HIPS,1,6.6,249.4
B84 x 3IIH6,4158,1,HIPS,1,7.2,243.5
B84 x 3IIH6,4158,2,HIPS,1,8.1,283
B73 x 3IIH6,4159,1,HIPS,1,8.4,304.7
B73 x 3IIH6,4159,2,HIPS,1,7.75,311.3
F42 x OH43,4167,1,HIPS,1,8.3,316.4
F42 x OH43,4167,2,HIPS,1,7.8,311.4
PHK76 x LH145,4204,1,HIPS,1,5.1,216.7
PHK76 x LH145,4204,2,HIPS,1,6.4,286.9
PHK76 x LH82,4205,1,HIPS,1,4.1,208.2
PHK76 x LH82,4205,2,HIPS,1,6.85,278.5
B84 x 3IIH6,4216,1,HIPS,1,8.3,261.1
B84 x 3IIH6,4216,2,HIPS,1,5.45,199.8
2FACC x 3IIH6,4217,1,HIPS,1,6.2,249.9
2FACC x 3IIH6,4217,2,HIPS,1,8.7,318.1
B73 x PHZ51,4225,1,HIPS,1,6.9,297.9
B73 x PHZ51,4225,2,HIPS,1,5.6,246.7
B14A x Mo17,4234,1,HIPS,1,9.25,368.9
B14A x Mo17,4234,2,HIPS,1,7.5,304.8
B37 x Mo17,4236,1,HIPS,1,6.45,265.1
B37 x Mo17,4236,2,HIPS,1,9.7,388.6
B37 x H95,4244,1,HIPS,1,7.75,327.6
B37 x H95,4244,2,HIPS,1,8.35,337.3
PHZ51 x LH145,4247,1,HIPS,1,6.5,281.8
PHZ51 x LH145,4247,2,HIPS,1,7,296.4
B73 x Mo17,4256,1,HIPS,1,9,303.6
B73 x Mo17,4256,2,HIPS,1,6.1,247.8
LH123HT x 3IIH6,4260,1,HIPS,1,6.7,183.8
LH123HT x 3IIH6,4260,2,HIPS,1,7.5,158.6
B73 x 3IIH6,4267,1,HIPS,1,9.35,170.8
B73 x 3IIH6,4267,2,HIPS,1,10.3,316.6
F42 x OH43,4272,1,HIPS,1,6.85,284.2
F42 x OH43,4272,2,HIPS,1,6.9,273.8
F42 x Mo17,4273,1,HIPS,1,6.3,255.4
F42 x Mo17,4273,2,HIPS,1,7.3,285.6
B37 x OH43,4274,1,HIPS,1,6,232.9
B37 x OH43,4274,2,HIPS,1,5.05,193.5
PHK76 x 3IIH6,4277,1,HIPS,1,8.9,323.1
PHK76 x 3IIH6,4277,2,HIPS,1,7.8,273
PHJ40 x LH82,4279,1,HIPS,1,6,275.8
PHJ40 x LH82,4279,2,HIPS,1,6.21,277.5
WF9 x H95,4280,1,HIPS,1,8.9,391.2
WF9 x H95,4280,2,HIPS,1,9.75,412.3
B37 x H95,5116,1,HIPS,1,7.25,309.5
B37 x H95,5116,2,HIPS,1,,
PHZ51 x LH145,5123,1,HIPS,1,8.1,339.1
PHZ51 x LH145,5123,2,HIPS,1,5.55,248.3
WF9 x H95,5126,1,HIPS,1,7.7,322.6
WF9 x H95,5126,2,HIPS,1,7.3,339.3
PHK76 x LH145,5128,1,HIPS,1,5.45,250
PHK76 x LH145,5128,2,HIPS,1,6.4,280.2
PHK76 x 3IIH6,5130,1,HIPS,1,5.65,241.2
PHK76 x 3IIH6,5130,2,HIPS,1,6.5,273.7
F42 x Mo17,5131,1,HIPS,1,4.3,195.7
F42 x Mo17,5131,2,HIPS,1,4.8,220.1
PHJ40 x LH82,5135,1,HIPS,1,6.55,294.9
PHJ40 x LH82,5135,2,HIPS,1,6.4,268
2FACC x 3IIH6,5144,1,HIPS,1,6.7,267.3
2FACC x 3IIH6,5144,2,HIPS,1,7.65,297.1
B73 x PHZ51,5147,1,HIPS,1,3.75,172.7
B73 x PHZ51,5147,2,HIPS,1,5.2,226.1
LH123HT x 3IIH6,5150,1,HIPS,1,4.15,172.8
LH123HT x 3IIH6,5150,2,HIPS,1,4.7,200.1
B14A x Mo17,5152,1,HIPS,1,5.95,265.2
B14A x Mo17,5152,2,HIPS,1,5.3,226.9
B37 x Mo17,5153,1,HIPS,1,5.25,242.1
B37 x Mo17,5153,2,HIPS,1,6.8,272.2
B73 x 3IIH6,5154,1,HIPS,1,2.5,109.3
B73 x 3IIH6,5154,2,HIPS,1,4.4,198.8
F42 x OH43,5160,1,HIPS,1,4.9,212.9
F42 x OH43,5160,2,HIPS,1,8.05,336.6
B84 x 3IIH6,5161,1,HIPS,1,6.4,252
B84 x 3IIH6,5161,2,HIPS,1,4.1,189.9
B37 x OH43,5162,1,HIPS,1,6.15,244.8
B37 x OH43,5162,2,HIPS,1,5.1,240
B73 x Mo17,5176,1,HIPS,1,4.6,211
B73 x Mo17,5176,2,HIPS,1,3.4,171.8
PHK76 x LH82,5182,1,HIPS,1,1.5,92.7
PHK76 x LH82,5182,2,HIPS,1,1.4,90
2FACC x 3IIH6,5201,1,HIPS,1,9.15,314.1
2FACC x 3IIH6,5201,2,HIPS,1,6,233.1
PHK76 x LH82,5206,1,HIPS,1,7,319.8
PHK76 x LH82,5206,2,HIPS,1,8,337.4
B37 x OH43,5210,1,HIPS,1,9.05,376.3
B37 x OH43,5210,2,HIPS,1,7.9,236.1
B84 x 3IIH6,5211,1,HIPS,1,9,314.1
B84 x 3IIH6,5211,2,HIPS,1,9.5,347.6
B37 x Mo17,5216,1,HIPS,1,6.6,292.9
B37 x Mo17,5216,2,HIPS,1,9.1,373
F42 x OH43,5220,1,HIPS,1,7.35,301.7
F42 x OH43,5220,2,HIPS,1,8.5,357.5
PHZ51 x LH145,5227,1,HIPS,1,8.05,297.7
PHZ51 x LH145,5227,2,HIPS,1,5.6,253
B14A x Mo17,5237,1,HIPS,1,9.1,343.8
B14A x Mo17,5237,2,HIPS,1,6.95,274.3
WF9 x H95,5238,1,HIPS,1,6.9,275.1
WF9 x H95,5238,2,HIPS,1,5.7,240.6
PHK76 x 3IIH6,5240,1,HIPS,1,2.95,131.8
